"Type","Price information classification","Area","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","District","Nearest station : Name","Nearest station : Distance","Total transaction value","Area(‡u)","Land : Price per m2","Land : Shape","Frontage","Building : Total floor area","Building : Construction year","Building : Structure","Use","Purpose of use","Frontage road : Direction","Frontage road : Width","Frontage road : Type","City planning","Building coverage ratio","Floor area ratio","Transaction timing","Transaction factors"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandakon-yacho","Kanda(Tokyo)",3,100000000,35,"","Rectangular Shaped",3.6,155,"1984","S","Office","Other","West",11,"Ward Road","Commerical",80,600,"3rd quarter 2025","Dealings between related objects"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Akihabara",5,220000000,65,3400000,"Semi-square Shaped",8,"","","","","Other","North",6.3,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Akihabara",2,230000000,195,"","Semi-rectangular Shaped",16,510,"1970","RC","Office","Office","North",6.3,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Akihabara",5,570000000,145,3900000,"Semi-shaped",9.6,"","","","","Office","South",6.6,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Akihabara",5,170000000,85,2000000,"Semi-square Shaped",8.7,"","","","","","East",8.8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandasakumacho","Akihabara",5,240000000,85,2700000,"Semi-square Shaped",8.7,"","","","","House","East",8.8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho",1,72000000,35,"","Semi-rectangular Shaped",3.8,130,"1980","S","House, Shop","Shop","North",6,"Ward Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho",4,270000000,175,"","Semi-rectangular Shaped",6.8,100,"","W","House, Shop","House","Southeast",5.5,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho",3,210000000,125,1600000,"Rectangular Shaped",5,"","","","","House","Northwest",5,"Ward Road","Commerical",80,500,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho",4,370000000,85,"","Rectangular Shaped",10.6,150,"2024","S","Shop","Shop","Northwest",4,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho",3,95000000,55,"","Semi-rectangular Shaped",4.7,130,"1976","RC","House, Shop","Other","Southwest",8,"Ward Road","Commerical",80,500,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandajimbocho","Jimbocho",2,150000000,60,"","Semi-rectangular Shaped",9,170,"1968","SRC","Office, Shop","Shop","Southeast",8,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandahirakawacho","Akihabara",1,740000000,130,"","Irregular Shaped",7,970,"1969","RC","House, Office, Shop","Office","West",44,"National Road","Commerical",80,800,"1st quarter 2025","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi",2,1700000000,200,"","Trapezoidal Shaped",6,630,"2022","RC","Office, Shop","Office","Northwest",5.4,"Ward Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi",3,350000000,35,"","Semi-shaped",4.1,125,"2025","RC","Shop","Shop","Northeast",8,"Ward Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi",2,2000000000,270,"","Rectangular Shaped",11,910,"1987","SRC","Office, Shop","","Northeast",5.4,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kandamisakicho","Suidobashi",2,2800000000,420,"","Rectangular Shaped",18.4,1400,"2021","S","Office","Office","Northeast",5.5,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kudamminami","Kudanshita",1,260000000,100,"","Semi-rectangular Shaped",12.5,90,"before the war","W","Shop","Shop","West",4,"Ward Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Kojimachi","Kojimachi",2,210000000,50,"","Rectangular Shaped",4.7,175,"1979","S","Housing Complex, Shop","Other","Northeast",11,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13101","Tokyo","Chiyoda Ward","Sambancho","Hanzomon",4,1600000000,230,"","Semi-trapezoidal Shaped",18,200,"","W","House","Other","East",11,"Ward Road","2 Res",60,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Sotokanda","Suehirocho(Tokyo)",3,1300000000,210,"","Rectangular Shaped",19.5,420,"1991","S","House, Office, Shop","Other","South",11,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Sotokanda","Suehirocho(Tokyo)",5,3000000000,230,"","Semi-shaped",14.5,1400,"2024","S","Office, Shop","Office","East",22,"Tokyo Metropolitan Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Sotokanda","Suehirocho(Tokyo)",3,70000000,50,"","Rectangular Shaped",3.7,70,"1973","","","House","South",5.9,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Sotokanda","Yushima(Tokyo)",2,610000000,95,"","Rectangular Shaped",7.8,320,"2003","S","Office","Office","North",11,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Nishikanda","Jimbocho",5,110000000,80,"","Rectangular Shaped",5.2,125,"1984","W","House, Office","Office","Southeast",4,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Higashikanda","Iwamotocho",5,1000000000,170,"","Irregular Shaped",11.6,810,"1987","SRC","Office","Office","Northeast",8,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Higashikanda","Bakurocho",5,100000000,60,1700000,"Rectangular Shaped",6.4,"","","","","House","West",3.4,"Private Road","Commerical",80,500,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Higashikanda","Bakurocho",2,800000000,120,"","Semi-shaped",10.4,750,"2003","RC","Housing Complex","House","Southwest",22,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13101","Tokyo","Chiyoda Ward","Hirakawacho","Hanzomon",4,1800000000,210,"","Irregular Shaped",11,1300,"1993","SRC","House, Office, Shop","Office","East",16,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13102","Tokyo","Chuo Ward","Tsukishima","Tsukishima",5,35000000,30,"","","",85,"1975","W","","","Southwest",2.7,"Private Road","2 Res",80,108,"4th quarter 2024",""
"Residential Land(Land and Building)","Contract Price Information","","13102","Tokyo","Chuo Ward","Tsukishima","Tsukishima",5,37000000,35,"","","",45,"1980","W","","","Northeast",2.7,"Private Road","2 Res",80,108,"1st quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13102","Tokyo","Chuo Ward","Tsukishima","Tsukishima",5,73000000,40,"","","",85,"1966","LS","","","Northeast",10.9,"Public Road","2 Res",80,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Contract Price Information","","13102","Tokyo","Chuo Ward","Tsukuda","Tsukishima",5,220000000,125,"","","",145,"1950","W","","","Northeast",10.9,"Public Road","2 Res",80,400,"2nd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Akashicho","Tsukiji",7,290000000,210,1400000,"Irregular Shaped",3,"","","","","Other","Northeast",4,"Ward Road","2 Res",60,400,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Akashicho","Tsukiji",6,2400000000,410,"","Rectangular Shaped",14,"2,000 ‡u or greater.","2024","RC","Housing Complex","House","Southwest",13,"Ward Road","2 Res",60,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Irifune","Hatchobori(Tokyo)",3,400000000,200,"","Rectangular Shaped",22,170,"1953","W","Shop","","Southwest",3,"Ward Road","Commerical",80,500,"1st quarter 2025","Dealings of adjacent land"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Irifune","Hatchobori(Tokyo)",4,200000000,100,2000000,"Semi-square Shaped",10,"","","","","","Southeast",6,"Ward Road","Commerical",80,500,"1st quarter 2025","Dealings of adjacent land"
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Irifune","Hatchobori(Tokyo)",3,40000000,35,1200000,"Semi-rectangular Shaped",3.7,"","","","","House","South",3,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki",4,1200000000,170,"","Rectangular Shaped",9.1,770,"2025","RC","Housing Complex, Shop","House","Northwest",10.9,"Ward Road","2 Res",80,400,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki",2,90000000,40,"","Semi-rectangular Shaped",4.2,55,"1970","W","House","Shop","Northeast",2.7,"Private Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Kachidoki","Kachidoki",2,93000000,45,"","Semi-rectangular Shaped",5,45,"","W","House","Shop","Northeast",2.7,"Private Road","2 Res",80,400,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Ginza",2,2000000000,100,"","Semi-rectangular Shaped",5.5,650,"2001","SRC","Office, Shop","Office","Southeast",26.9,"Tokyo Metropolitan Road","Commerical",80,800,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Ginza Itchome",3,710000000,55,"","Rectangular Shaped",9.5,260,"1986","RC","Office, Parking Lot","Office","Northwest",12.7,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Shintomicho(Tokyo)",3,510000000,100,"","Rectangular Shaped",7,290,"1972","RC","Office, Warehouse","Other","Southeast",8,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Shimbashi",3,3200000000,100,31000000,"Rectangular Shaped",6.5,"","","","","Other","Northwest",14.5,"Ward Road","Commerical",80,700,"4th quarter 2024","Dealings of adjacent land"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Takaracho",2,4200000000,280,"","Irregular Shaped",12,"2,000 ‡u or greater.","1993","SRC","Office, Shop","Shop","Northwest",44,"Tokyo Metropolitan Road","Commerical",80,800,"3rd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Tsukijishijo",4,750000000,80,9300000,"Irregular Shaped",7.5,"","","","","House","Southwest",11,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Tsukijishijo",4,1100000000,80,"","Irregular Shaped",4.5,125,"","","","House","Southwest",11,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Higashi Ginza",3,1600000000,100,"","Rectangular Shaped",11.6,450,"2024","S","Other","Other","Southeast",6,"Ward Road","Commerical",80,600,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Higashi Ginza",2,250000000,50,"","Rectangular Shaped",4,"","","","","House","Northeast",15,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Ginza","Higashi Ginza",7,510000000,80,"","Rectangular Shaped",8,360,"2013","RC","Housing Complex, Office, Shop","Other","Southeast",6,"Ward Road","Commerical",80,700,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Shinkawa","Kayabacho",5,160000000,95,"","Semi-rectangular Shaped",7,320,"1981","S","House, Office, Shop","Shop","Southwest",8,"Ward Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Shinkawa","Kayabacho",4,160000000,85,1900000,"Semi-rectangular Shaped",11,"","","","","House","Southeast",4,"Private Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Shinkawa","Kayabacho",2,710000000,135,"","Semi-shaped",8,1000,"1971","SRC","Office, Parking Lot, Shop","Other","Northeast",33,"Tokyo Metropolitan Road","Commerical",80,700,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Shinkawa","Hatchobori(Tokyo)",5,440000000,140,"","Trapezoidal Shaped",8.1,450,"1984","S","House, Office, Shop","House","Southeast",8,"Ward Road","Commerical",80,500,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Shintomi","Shintomicho(Tokyo)",3,250000000,30,"","Semi-trapezoidal Shaped",4.5,150,"2025","RC","Housing Complex, Shop","House","North",15,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Shintomi","Takaracho",5,820000000,155,"","Semi-rectangular Shaped",16,390,"1961","RC","House, Office, Parking Lot, Shop","Other","South",15,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji",5,230000000,100,"","Semi-rectangular Shaped","",400,"1988","RC","House, Office, Workshop","Office","Southwest",6,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji",2,3500000000,195,"","Semi-shaped",9,1200,"2019","S","Other","Other","Southeast",18.9,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Tsukiji","Tsukiji",6,190000000,45,"","Rectangular Shaped",3.3,180,"1990","S","Office, Shop","Office","Northwest",10,"Ward Road","Commerical",80,500,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Tsukishima","Kachidoki",5,720000000,115,"","Rectangular Shaped",6.4,650,"2020","RC","Housing Complex","House","Southwest",10.9,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Tsukishima","Tsukishima",3,49000000,30,"","Rectangular Shaped",3,60,"1972","W","House","","Southwest",2.7,"Private Road","2 Res",80,400,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Tsukishima","Tsukishima",4,170000000,80,"","Semi-shaped",3,145,"1997","W","House","","Southeast",10.9,"Ward Road","2 Res",80,400,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Tsukishima","Tsukishima",4,35000000,35,"","Rectangular Shaped",3.6,80,"1975","W","House, Workshop","House","Southwest",2.7,"Private Road","2 Res",80,400,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Tsukishima","Tsukishima",3,380000000,95,"","Rectangular Shaped",5.7,330,"2020","RC","Housing Complex","House","Northwest",10.9,"Ward Road","2 Res",80,400,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Tsukishima","Tsukishima",4,26000000,35,"","Rectangular Shaped",3.6,40,"before the war","W","House","House","Southeast",5.5,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Tsukuda","Tsukishima",2,94000000,65,"","Square Shaped",8.5,80,"1965","","","House","Southeast",4.5,"Ward Road","2 Res",80,400,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Tsukuda","Tsukishima",3,65000000,60,"","Semi-rectangular Shaped",6.7,"","","","","House","Northeast",2.7,"Private Road","2 Res",80,400,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Tsukuda","Tsukishima",4,120000000,50,"","Trapezoidal Shaped",6.4,150,"1973","S","Housing Complex, Office, Parking Lot","House","Southwest",41,"Ward Road","2 Res",80,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area","13102","Tokyo","Chuo Ward","Tsukuda","Tsukishima",2,88000000,35,"","Rectangular Shaped",4,30,"","W","House","House","Northeast",2.5,"Private Road","2 Res",80,400,"4th quarter 2024","Dealings of adjacent land"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashiodemmacho","Kodemmacho",2,1400000000,130,"","Semi-square Shaped",11,650,"2025","RC","Office, Shop","Shop","South",8,"Ward Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashiodemmacho","Kodemmacho",3,210000000,60,"","Semi-rectangular Shaped",6,160,"1996","S","Office, Shop","House","Southeast",11,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashikakigaracho","Suitengumae",3,260000000,80,3200000,"Semi-rectangular Shaped",11.3,"","","","","House","Southwest",6,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashikakigaracho","Suitengumae",3,240000000,80,2900000,"Semi-rectangular Shaped",11.3,"","","","","House","Southwest",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashikabutocho","Kayabacho",5,170000000,60,"","Semi-rectangular Shaped",5,260,"1971","RC","House, Office, Shop","Office","Northwest",8,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land Only)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashikayabacho","Kayabacho",2,79000000,50,1600000,"Semi-rectangular Shaped",3.9,"","","","","Other","Northeast",6,"Ward Road","Commerical",80,600,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashikayabacho","Kayabacho",2,110000000,40,"","Semi-square Shaped",6,75,"1959","W","House, Office","House","Northwest",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashikayabacho","Kayabacho",2,120000000,40,"","Semi-square Shaped",6,75,"1959","W","House, Office","House","Northwest",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashikodemmacho","Kodemmacho",2,390000000,100,"","Irregular Shaped",6,540,"1980","SRC","House, Office","Office","Southeast",11,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashikobunacho","Shin Nihombashi",5,530000000,140,"","Rectangular Shaped",7,770,"1974","RC","Office, Shop","Office","North",16,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashikobunacho","Ningyocho",5,130000000,80,"","Rectangular Shaped",6,290,"1977","S","Housing Complex, Office, Warehouse, Parking Lot","Office","Northwest",8,"Ward Road","Commerical",80,600,"3rd quarter 2025","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashinakasu","Suitengumae",6,320000000,290,"","Irregular Shaped",23.5,"2,000 ‡u or greater.","1979","SRC","Housing Complex, Workshop","House","Southwest",21.9,"Tokyo Metropolitan Road","Commerical",80,700,"4th quarter 2024","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area","13102","Tokyo","Chuo Ward","Nihombashiningyocho","Ningyocho",1,800000000,115,"","Semi-rectangular Shaped",7,870,"1969","S","House, Office, Shop","Shop","Northwest",22,"Ward Road","Commerical",80,700,"2nd quarter 2025",""
