"Type","Price.information.classification","Area","City.Town.Ward.Village.code","Prefecture","City.Town.Ward.Village","District","Nearest.station...Name","Nearest.station...Distance","Total.transaction.value","Area...","Land...Price.per.m2","Land...Shape","Frontage","Building...Total.floor.area","Building...Construction.year","Building...Structure","Use","Purpose.of.use","Frontage.road...Direction","Frontage.road...Width","Frontage.road...Type","City.planning","Building.coverage.ratio","Floor.area.ratio","Transaction.timing","Transaction.factors"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Ginza","Shintomicho(Tokyo)","3",5.1e+08,"100",NA,"Rectangular Shaped","7","290","1972","RC","Office, Warehouse","Other","Southeast",8,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Ginza","Takaracho","2",4.2e+09,"280",NA,"Irregular Shaped","12","2,000 ㎡ or greater.","1993","SRC","Office, Shop","Shop","Northwest",44,"Tokyo Metropolitan Road","Commerical",80,800,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Ginza","Tsukijishijo","4",1.1e+09,"80",NA,"Irregular Shaped","4.5","125","","","","House","Southwest",11,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Ginza","Higashi Ginza","3",1.6e+09,"100",NA,"Rectangular Shaped","11.6","450","2024","S","Other","Other","Southeast",6,"Ward Road","Commerical",80,600,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Ginza","Higashi Ginza","2",2.5e+08,"50",NA,"Rectangular Shaped","4","","","","","House","Northeast",15,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Ginza","Higashi Ginza","7",5.1e+08,"80",NA,"Rectangular Shaped","8","360","2013","RC","Housing Complex, Office, Shop","Other","Southeast",6,"Ward Road","Commerical",80,700,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Shinkawa","Kayabacho","5",1.6e+08,"95",NA,"Semi-rectangular Shaped","7","320","1981","S","House, Office, Shop","Shop","Southwest",8,"Ward Road","Commerical",80,500,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Shinkawa","Kayabacho","2",7.1e+08,"135",NA,"Semi-shaped","8","1000","1971","SRC","Office, Parking Lot, Shop","Other","Northeast",33,"Tokyo Metropolitan Road","Commerical",80,700,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Shinkawa","Hatchobori(Tokyo)","5",4.4e+08,"140",NA,"Trapezoidal Shaped","8.1","450","1984","S","House, Office, Shop","House","Southeast",8,"Ward Road","Commerical",80,500,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Shintomi","Shintomicho(Tokyo)","3",2.5e+08,"30",NA,"Semi-trapezoidal Shaped","4.5","150","2025","RC","Housing Complex, Shop","House","North",15,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Shintomi","Takaracho","5",8.2e+08,"155",NA,"Semi-rectangular Shaped","16","390","1961","RC","House, Office, Parking Lot, Shop","Other","South",15,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Tsukiji","Tsukiji","5",2.3e+08,"100",NA,"Semi-rectangular Shaped","","400","1988","RC","House, Office, Workshop","Office","Southwest",6,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Tsukiji","Tsukiji","2",3.5e+09,"195",NA,"Semi-shaped","9","1200","2019","S","Other","Other","Southeast",18.9,"Ward Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Tsukiji","Tsukiji","6",1.9e+08,"45",NA,"Rectangular Shaped","3.3","180","1990","S","Office, Shop","Office","Northwest",10,"Ward Road","Commerical",80,500,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Tsukishima","Kachidoki","5",7.2e+08,"115",NA,"Rectangular Shaped","6.4","650","2020","RC","Housing Complex","House","Southwest",10.9,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Tsukishima","Tsukishima","3",4.9e+07,"30",NA,"Rectangular Shaped","3","60","1972","W","House","","Southwest",2.7,"Private Road","2 Res",80,400,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Tsukishima","Tsukishima","4",1.7e+08,"80",NA,"Semi-shaped","3","145","1997","W","House","","Southeast",10.9,"Ward Road","2 Res",80,400,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Tsukishima","Tsukishima","4",3.5e+07,"35",NA,"Rectangular Shaped","3.6","80","1975","W","House, Workshop","House","Southwest",2.7,"Private Road","2 Res",80,400,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Tsukishima","Tsukishima","3",3.8e+08,"95",NA,"Rectangular Shaped","5.7","330","2020","RC","Housing Complex","House","Northwest",10.9,"Ward Road","2 Res",80,400,"4th quarter 2024","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Tsukishima","Tsukishima","4",2.6e+07,"35",NA,"Rectangular Shaped","3.6","40","before the war","W","House","House","Southeast",5.5,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Tsukuda","Tsukishima","2",9.4e+07,"65",NA,"Square Shaped","8.5","80","1965","","","House","Southeast",4.5,"Ward Road","2 Res",80,400,"2nd quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Tsukuda","Tsukishima","3",6.5e+07,"60",NA,"Semi-rectangular Shaped","6.7","","","","","House","Northeast",2.7,"Private Road","2 Res",80,400,"1st quarter 2025","Dealings including private road"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Tsukuda","Tsukishima","4",1.2e+08,"50",NA,"Trapezoidal Shaped","6.4","150","1973","S","Housing Complex, Office, Parking Lot","House","Southwest",41,"Ward Road","2 Res",80,400,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Residential Area",13102,"Tokyo","Chuo Ward","Tsukuda","Tsukishima","2",8.8e+07,"35",NA,"Rectangular Shaped","4","30","","W","House","House","Northeast",2.5,"Private Road","2 Res",80,400,"4th quarter 2024","Dealings of adjacent land"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashiodemmacho","Kodemmacho","2",1.4e+09,"130",NA,"Semi-square Shaped","11","650","2025","RC","Office, Shop","Shop","South",8,"Ward Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashiodemmacho","Kodemmacho","3",2.1e+08,"60",NA,"Semi-rectangular Shaped","6","160","1996","S","Office, Shop","House","Southeast",11,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashikabutocho","Kayabacho","5",1.7e+08,"60",NA,"Semi-rectangular Shaped","5","260","1971","RC","House, Office, Shop","Office","Northwest",8,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashikayabacho","Kayabacho","2",1.1e+08,"40",NA,"Semi-square Shaped","6","75","1959","W","House, Office","House","Northwest",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashikayabacho","Kayabacho","2",1.2e+08,"40",NA,"Semi-square Shaped","6","75","1959","W","House, Office","House","Northwest",6,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashikodemmacho","Kodemmacho","2",3.9e+08,"100",NA,"Irregular Shaped","6","540","1980","SRC","House, Office","Office","Southeast",11,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashikobunacho","Shin Nihombashi","5",5.3e+08,"140",NA,"Rectangular Shaped","7","770","1974","RC","Office, Shop","Office","North",16,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashikobunacho","Ningyocho","5",1.3e+08,"80",NA,"Rectangular Shaped","6","290","1977","S","Housing Complex, Office, Warehouse, Parking Lot","Office","Northwest",8,"Ward Road","Commerical",80,600,"3rd quarter 2025","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashinakasu","Suitengumae","6",3.2e+08,"290",NA,"Irregular Shaped","23.5","2,000 ㎡ or greater.","1979","SRC","Housing Complex, Workshop","House","Southwest",21.9,"Tokyo Metropolitan Road","Commerical",80,700,"4th quarter 2024","Dealings between related objects"
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashiningyocho","Ningyocho","1",8e+08,"115",NA,"Semi-rectangular Shaped","7","870","1969","S","House, Office, Shop","Shop","Northwest",22,"Ward Road","Commerical",80,700,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashiningyocho","Ningyocho","3",9.1e+08,"210",NA,"Irregular Shaped","8","960","1989","SRC","Office","Other","Northeast",8,"Ward Road","Commerical",80,600,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashibakurocho","Bakurocho","1",6e+08,"65",NA,"Semi-rectangular Shaped","7","420","1992","S","Office","Office","North",36,"Tokyo Metropolitan Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashihakozakicho","Suitengumae","2",5.2e+08,"140",NA,"Semi-rectangular Shaped","8","580","1974","RC","Office, Parking Lot","House","Northeast",9,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashihakozakicho","Suitengumae","3",3e+08,"140",NA,"Semi-rectangular Shaped","14.5","530","1978","S","Office, Warehouse","Office","Southeast",8,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashihakozakicho","Suitengumae","4",3.7e+08,"105",NA,"Irregular Shaped","14.5","105","1953","","","Other","Northeast",8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashihamacho","Suitengumae","6",2.5e+08,"100",NA,"Semi-square Shaped","10.3","155","1999","W","House, Shop","House","North",11,"Ward Road","Commerical",80,500,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashihamacho","Hamacho","3",7.5e+08,"125",NA,"Irregular Shaped","7","750","2012","S","Housing Complex, Office, Shop","House","Southeast",27,"Tokyo Metropolitan Road","Commerical",80,700,"3rd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashihamacho","Hamacho","2",1.1e+08,"35",NA,"Rectangular Shaped","3.6","115","2003","S","Housing Complex, Shop","House","Southwest",8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashihamacho","Higashi Nihombashi","3",2.2e+08,"55",NA,"Semi-rectangular Shaped","5.5","270","1988","RC","House, Office","Office","Northwest",11,"Ward Road","Commerical",80,500,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashimuromachi","Shin Nihombashi","2",3.3e+08,"90",NA,"Semi-rectangular Shaped","11","290","1978","S","House, Shop","Shop","South",2.4,"Private Road","Commerical",80,600,"1st quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Nihombashiyokoyamacho","Higashi Nihombashi","2",2.4e+08,"90",NA,"Semi-square Shaped","9.1","380","1986","RC","Housing Complex, Office, Shop","Shop","Southeast",8.2,"Ward Road","Commerical",80,600,"2nd quarter 2025",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Hatchobori","Takaracho","3",3.7e+08,"65",NA,"Semi-rectangular Shaped","7.6","125","1964","W","House, Factory","Office","South",3,"Ward Road","Commerical",80,700,"4th quarter 2024",""
"Residential Land(Land and Building)","Real Estate Transaction Price Information","Commercial Area",13102,"Tokyo","Chuo Ward","Hatchobori","Hatchobori(Tokyo)","2",1e+09,"150",NA,"Semi-rectangular Shaped","15.7","170","1963","RC","Office","Office","Northwest",8,"Ward Road","Commerical",80,500,"4th quarter 2024",""
